corner_id,x,y
0,201.5774265031764,191.3470231939725
1,182.0767617077854,284.9502142118481
2,104.07410252622276,181.59669079627716
3,92.37370364898834,286.90028069138714
4,72.87303885359734,513.1079923179199
5,150.87569803516044,515.0580587974588
6,111.87436844437887,708.1146402718272
7,191.82709410548068,684.7138425173583
8,246.42895553257492,846.5693603191015
9,291.2804845619735,786.1172994533903
10,259.7503323976955,994.7744127640711
11,304.60186142709426,965.5234155709851
12,217.17795833948867,957.7231496528289
